videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
EH6vE97qIP4,We have crypto youtubers explaining blockchain technology wrong. This is a good place to start.,2022-03-18T21:47:57Z,Gregory Sanchez,https://yt3.ggpht.com/ytc/AKedOLTlXJCI2OHolz2y7B_nF6SMdXYl1MR1qneHyA=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,My Ginsla!,2022-03-17T12:32:07Z,Gackt Cognac,https://yt3.ggpht.com/ytc/AKedOLSNBUvvSgmPW8qQ3_qREhYkCpkuJlUU8FJNyghaEA=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Apply your Duck test to XRP.,2022-03-17T05:03:20Z,Nathan Mulready,https://yt3.ggpht.com/ytc/AKedOLSAWGXuLkWYNBBSbeA6M59Rxec9YBmbZFE6_o2uxQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"If your investing experience is less than 10 years start with 5-6 portfolio. Don't bet big on any single company, learn the process first. Initial diversification is not bad, it really worked for me during my early years. Remember that protection of capital is a must. Goodluck.",2022-03-15T15:19:34Z,John Wes,https://yt3.ggpht.com/ytc/AKedOLTI3yCgjEnTAM5p8iGSQ-Fr62HlLTdii1hjHD8RXs5sMLCgs9bWsmu3MX54Kvd-=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Nice explanation!,2022-03-15T11:58:54Z,Riley Davis,https://yt3.ggpht.com/ytc/AKedOLT1xXScOqPQt18uwIsBxtfU4uqYaj7ryk4CzMcrW5XgM_qYjImXAPqaaJIKNKzU=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,This guy currently is the chairman of securities and exchange commission ( usa),2022-03-11T05:54:29Z,raghav padia,https://yt3.ggpht.com/NEP0ShkZZ-MWgJpWY1MoeoV10EO1_Uk2z9WhssRVr2mAhosYHj31VK6j1Fyb9tV6XFL1wixT=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,What's that accent,2022-03-09T07:56:47Z,Sukomal S Kumar,https://yt3.ggpht.com/ytc/AKedOLTuAzrEkHJFqCb8McYTVk34PMYSqhfnnDT3n-gNv1g=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"1. What is SSL/TLS? How it works? 
2. Who appends new block?",2022-03-07T12:03:06Z,FUTUREPRENEUR,https://yt3.ggpht.com/IeMIy5cszQ6ZstDuEg2jpRJg6BrJFsQ18XQI7zdErbMYC4dy66OAI0DySWIdoteYpf2e7d5BoQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Is the syllabus & reading material available as digital documents?,2022-03-06T00:12:44Z,Eric Korbly,https://yt3.ggpht.com/ytc/AKedOLRiOqTUX3hM3sfFDNYaVCdFjTtH8d8ikzPEOZKaKQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,nice!,2022-03-05T17:54:58Z,MoneyZG ,https://yt3.ggpht.com/S4OAsLwwNP47f7e10egtbLW49x7MTIuS1BpV4JpnD3plLX-TdHgKTulEFx0hbLbe_8izEmbtrXA=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"Those pizzas are worth $409,886,600 today..........",2022-03-04T18:57:49Z,Ronan,https://yt3.ggpht.com/ytc/AKedOLRoYhERPPB6xkLQYYFK3IfMjGXmunC-0DatYJDu=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"Funny see the man who build a lawsuit to label a piece of protocol the same as a piece of a company, teaching blockchain and cryptos at MIT.",2022-03-03T12:36:24Z,Andrea Invernizzi,https://yt3.ggpht.com/ytc/AKedOLR6MjEMgfoaikoXt_2zJ68GYhYfUJX2NNWFoV5V=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"My Guess:
Satoshi is the FED. 
Getting the masses accustomed to using digital currency. 
Then FED-COIN will be implemented.",2022-03-03T10:12:02Z,SoCalSilver,https://yt3.ggpht.com/CKroQM-3ceNOPv5WBy7SOXqm0USwJMR99rCdHTAiNciWoCKQbSHPSfeTaonvnNP6iGIGLBA6yg=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,hi,2022-03-03T09:44:25Z,Mr. Timothy,https://yt3.ggpht.com/ytc/AKedOLRe6KivTc_EadHqwll5O1UFug3nEpQCfFLOS4Nd=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,That awkward moment when he asks if you hold a cryptocurrency and I hold XRP,2022-03-01T10:47:23Z,Anthony Cekic,https://yt3.ggpht.com/ytc/AKedOLTUHAVSyX2nex1FhJamXSZqC7zpjAfzCOGG1Q=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,I wonder what are some examples of the ‘costs’ mentioned in 21:57?,2022-02-28T21:01:12Z,Han Nguyen,https://yt3.ggpht.com/ytc/AKedOLSiZa5Cr7FPl0FmxFX784Yah2LTD8J2eRrLM0Ts9A=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"Let's not forget that the biggest payouts in the markets don't come from great performances but rather it's great promotions. Stay invested, diversification for streams of incomes is very important.",2022-02-28T01:05:13Z,Williams Smith,https://yt3.ggpht.com/ytc/AKedOLQ2Io5gPWUoDxwO5iauyTFm7SDPXLg1VfkqrYWbFg=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Can't believe I haven't seen this channel before.,2022-02-27T23:43:31Z,xTop 187,https://yt3.ggpht.com/ThBBUkSmjSG-G7uzOwzIZwfKI8g45AranZz-gixU7fZEBAYzJMrCWQbC5_9Ih2D-4Wlf3TR3hQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"Thank you MIT for this Video, lnteresting Prof Garry Gasler was a Professor Teaching about Bitcoin n Blocckchain, now SEC Chairman is very aware of the possibility to use Blockchain as separate market and how it might be used to address the lack of trust in said markets Now fighting XRP

Blockchain is the catalyst for change.
Today 24 February 2022
Tkx MIT for this Great video, l was able learn more abt Bitcoin n Blocckchain 
From Mesh in South Africa
From",2022-02-25T07:10:11Z,000 MESH SOUNDS,https://yt3.ggpht.com/ytc/AKedOLTN6890nLfCWfchVJP5ZQjMJ3yOe5zdZZKhTwyU=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,I wonder how many correctly guessed Satoshi’s identity,2022-02-25T06:20:23Z,tread well,https://yt3.ggpht.com/ytc/AKedOLSq55LVCocRbS8PqfH_74mWIn93k-HwB4Durg9vZg=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Excellent explanation of blockchain technology. Wonderful presentation!,2022-02-24T09:45:01Z,"Mason J. Krangle, CPA & Financial Consultant ",https://yt3.ggpht.com/-HWcoAtlWj6fvIYtBLL8yYNtOGLva2-M_-NYavmjdPTL1fyGe12lsRWsHWqt2oGjXmC5Hvhmlw=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,"Y'all need to stop gushing over how free all this is, before they get any bright ideas.",2022-02-24T07:43:26Z,jason white,https://yt3.ggpht.com/ytc/AKedOLSleofdrPm4UMWlAclI0Z5f-zIqW2pAtmWaf1bKng=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,wow amazing,2022-02-23T05:52:12Z,abdul muhaimin abdul ghani,https://yt3.ggpht.com/ytc/AKedOLStY3hwyTgPT-HOMQsEQIOKDFDmgi5fxz3tKNKaaQ=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Good lecture. He is the SEC chairman now.,2022-02-23T03:25:09Z,8 Bit Chiptune,https://yt3.ggpht.com/ytc/AKedOLQlrJixN-EakQZzmOkLkGVLhorsoZEuXcA9zfxm=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Amazing that not a single person in a room full of MIT students didn't know who Tim Berners Lee was. Must be a lot of finance/business majors in there,2022-02-22T21:50:41Z,John K,https://yt3.ggpht.com/ytc/AKedOLR_Tctud9tyD4FrvKoooUKTroqLTqhTw3BleA=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,readings at 50:55,2022-02-22T21:23:40Z,scientistsRpeople2,https://yt3.ggpht.com/ytc/AKedOLRNJ8PMcQrLmPtXfwePit6M7so_4OuAMdmwfsCq=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Will XRP holders be able to file a class action lawsuit?,2022-02-21T23:11:05Z,Red McC,https://yt3.ggpht.com/ytc/AKedOLQmQFHya5uS9RUSmcGV5s4QHeOrXDm3Svt9wCEC6Q=s48-c-k-c0x00ffffff-no-rj
EH6vE97qIP4,Thank you for your help!,2022-02-21T17:31:51Z,Pretty Bird,https://yt3.ggpht.com/d945yTYPknD4PemAbwwb8IDiJsV7SpCdBysDtjM8m5rxpw4F7nBIEmTf6EFqNTh96wF2pNotwi8=s48-c-k-c0x00ffffff-no-rj
