publishedAt,authorProfileImageUrl,videoId,authorDisplayName,textDisplay
2018-02-07T18:23:27.000Z,https://yt3.ggpht.com/-m_ipiOAPQ4I/AAAAAAAAAAI/AAAAAAAAAAA/82wTmYb_gRw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Benjamin Philipp,"Oh, I just watched 3Blue1Brown's video on the Fourrier Transform a couple of days ago!
If you don't know him yet: Definitely check him out, he does the best videos visualizing and explaining all sorts of mathematical ... things :)"
2018-02-07T02:26:28.000Z,https://yt3.ggpht.com/-qcemrTGBOFw/AAAAAAAAAAI/AAAAAAAAAAA/XDy7XJP2f8g/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Lemuel Uhuru,"LOL. Majority of this is hype. Chatbots haven't come that far since ELIZA from a conversational perspective. Sure there are advances in recommendation engines and other algorithms, however, these services can be used in a  traditional app, as for the intelligent conversations with an AI, the bots today are on average the same as Eliza if not worst, and the better ones are only slightly better. In addition the Facebook story of bot creating their own language has been debunked."
2018-01-25T00:44:40.000Z,https://yt3.ggpht.com/-MiIQa6rf4-c/AAAAAAAAAAI/AAAAAAAAAAA/hW773ckpBE4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,André Porto,+CrashCourse i'm a human and i didn't understand what you said to siri hahah
2018-01-11T12:09:59.000Z,https://yt3.ggpht.com/-1RDtVxDRjBw/AAAAAAAAAAI/AAAAAAAAAAA/KpZLAALPs1Y/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,kim kim,"""shi sho mi"""
2018-01-09T00:53:59.000Z,https://yt3.ggpht.com/-6NHDwTBoNAE/AAAAAAAAAAI/AAAAAAAAAAA/G78Oqk3EabU/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Elliot Daly,WHAT THINK YE ON THIS GENTLE MIDSUMMER'S DAY?  >intense concentration< maybe my favorite part in the entire series so far
2018-01-07T03:13:25.000Z,https://yt3.ggpht.com/-UXGbI2MwHXE/AAAAAAAAAAI/AAAAAAAAAAA/wREUjOqjOSk/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Олег Козлов,"*Balls to me to me to me to me, to me to me?*"
2017-12-30T01:46:20.000Z,https://yt3.ggpht.com/-NGXUVqZzk9E/AAAAAAAAAAI/AAAAAAAAAAA/0JW1RXN8NV8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Ulban Adhikary,THEY FORGOT TO MENTION THIS WAS ANOTHER LEVEL OF ABSTRACTION!
2017-12-25T20:24:49.000Z,https://yt3.ggpht.com/-Mt-fF4By6Bo/AAAAAAAAAAI/AAAAAAAAAAA/u5g2U-LA2ho/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,typograf62,"I'm 55. It has been ""pretty soon"" that voice recognition would work properly for most of my life. It is now in common use - and it still does not work. Perhaps if I live to a 110, but I will take no bets on that."
2017-12-15T14:23:54.000Z,https://yt3.ggpht.com/-NUOqM_6pR2o/AAAAAAAAAAI/AAAAAAAAAAA/RIS7FKCmrn4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Martin Kunev,I am yet to see a remotely convincing chatbot.
2017-12-12T13:15:16.000Z,https://yt3.ggpht.com/-83RHEP1mLF0/AAAAAAAAAAI/AAAAAAAAAAA/EJFlErbYwfw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Joel Austin,"import pyttsx
engine = pyttsx.init()
engine.say('Binary solo
Zero zero zero zero zero zero one
Zero zero zero zero zero zero one one
Zero zero zero zero zero zero one one one
Zero zero zero zero zero one one one one
Oh, oh, 
Oh, one
Come on sucker, 
Lick my battery .')
engine.runAndWait()"
2017-12-01T23:35:42.000Z,https://yt3.ggpht.com/-nGEy-SJzq0Q/AAAAAAAAAAI/AAAAAAAAAAA/RUAad-ea-CY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,DrunkCat,It's pretty much solved if you were Japanese. Honestly surprised you used Siri or Cortana as an example at all given how backwater they sound compared to Vocaloid.
2017-12-01T13:00:43.000Z,https://yt3.ggpht.com/-oYQGAvs6HgM/AAAAAAAAAAI/AAAAAAAAAAA/8WxbPehSCH8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Maxine,She speaks faster than my internet connection
2017-11-30T19:49:45.000Z,https://yt3.ggpht.com/-I-FHlY5Yy4E/AAAAAAAAAAI/AAAAAAAAAAA/_j5UQRicGHc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Just A Viewer,"Try turning on automatic captions. For clearly spoken stuff like what is on this channel, they are super accurate now."
2017-11-30T13:58:32.000Z,https://yt3.ggpht.com/-z6rpF9eQm0o/AAAAAAAAAAI/AAAAAAAAAAA/Y5YctxpGbO0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,MGMX,"There is even Vocaloid, a speech synthesizer software by Yamaha aimed to singing. There is a whole culture aroind it because the companies that made the voice banks have created anime-style characters for them."
2017-11-28T23:48:25.000Z,https://yt3.ggpht.com/-men_mfIBCD0/AAAAAAAAAAI/AAAAAAAAAAA/m9IfzhS6VZY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,fOvTtapxa9c,Tonya Mcclure,Net neutrality ending youtube will be gone november 14
