commentId,parentId,videoId,textDisplay,publishedAt,authorDisplayName,authorProfileImageUrl
UgxXCddOnDivd0ywEOt4AaABAg,0,X8jsijhllIA,"You are awesome, love from Bangladesh",2022-02-23T05:47:13Z,SM TANVIR AHAMMAD,https://yt3.ggpht.com/ytc/AKedOLRjBQqMOOmuv259v_TEsOBXkJ2WmmNYbhKdr3CXaQ=s48-c-k-c0x00ffffff-no-rj
UgywzVwQDkKaTiO5TMV4AaABAg,0,X8jsijhllIA,If you detect a 2 bit error you can send a message back to the sender to send it again,2022-02-20T00:47:17Z,Pwerry,https://yt3.ggpht.com/kai6m_yof-a7a9l64NWzidGBOm60RSsrL5TK-LVlRzCvEALu6GhY6tUqXk9TDE7M9oqoYeV8sA=s48-c-k-c0x00ffffff-no-rj
UgyrrmEBqD0ScPSG8zZ4AaABAg,0,X8jsijhllIA,Jeez this was painful to watch for me. 6 min of storytelling at the beginning and even after you can't go through the process in one stroke. There doesn't have to be a detour every 10 sec.,2022-02-19T08:23:19Z,noobnoob gamedev,https://yt3.ggpht.com/ytc/AKedOLSxvyb4N6N2Vj2yyikPXmd6PjY1xtTxamZDxzqBig=s48-c-k-c0x00ffffff-no-rj
UgyrrmEBqD0ScPSG8zZ4AaABAg.9YcEbQVK9qp9_hhfOTKgW6,UgyrrmEBqD0ScPSG8zZ4AaABAg,X8jsijhllIA,Maybe you'd be better off reading a textbook about it.,2022-04-12T04:24:59Z,J.J. Shank,https://yt3.ggpht.com/ytc/AKedOLR2-Gmb89B3yVTdtQ8Qw6R2QbVgTB3wYl6ezMHDbg=s48-c-k-c0x00ffffff-no-rj
UgwICd4t3Mb0PQRsWAp4AaABAg,0,X8jsijhllIA,"It's literally a binary tree search, I think",2022-02-19T04:22:34Z,Anthony Nguyen,https://yt3.ggpht.com/ytc/AKedOLTu0lfdlRqzm5LrAcdAU8MKNo1mBym6Q8YEAwBi=s48-c-k-c0x00ffffff-no-rj
Ugx5hiCHG_OqUm3q6OV4AaABAg,0,X8jsijhllIA,"I'm very interested in these kinds of things, but unfortunately the brain of a 13-year-old doesn't work like that of a professional engineer",2022-02-17T11:31:54Z,Liango 6437,https://yt3.ggpht.com/ytc/AKedOLSndnXl46EMrUxuSawuS65YGvNTm8aSkTEWCw=s48-c-k-c0x00ffffff-no-rj
UgyU_pi4b_Aar84tz5J4AaABAg,0,X8jsijhllIA,1/3 the way through it clicked for me.. i love this kind of video. keep up the amazing g work!,2022-02-17T02:53:32Z,jerbus,https://yt3.ggpht.com/SPNFMQjlcaL6Yr6K5nasp5aD4jDqg9C4Xh2UXTWxNbPshnAL8WQkYlk8oS7ObvjN-Ee18A-_=s48-c-k-c0x00ffffff-no-rj
UgxVz4JCLysdDO_hCLl4AaABAg,0,X8jsijhllIA,So is the parity bit important for the message or just for error checking?,2022-02-16T22:57:06Z,Rayvven,https://yt3.ggpht.com/ytc/AKedOLSN7blocf_8cdnz8ZfO3zN72HMk49A9cslf4Vonew=s48-c-k-c0x00ffffff-no-rj
Ugx-3DWClQoXZHOly7R4AaABAg,0,X8jsijhllIA,"Hamming has a face that says ""I'm tired of your bs I'll fix it myself""",2022-02-16T20:09:35Z,Drew Horst,https://yt3.ggpht.com/ytc/AKedOLT7UULi1yS8_LNIAGtb6sBZVZcXf8lkhC2KyQ0pAw=s48-c-k-c0x00ffffff-no-rj
UgxVy9V9IG1-2LUwctV4AaABAg,0,X8jsijhllIA,this is such an elegant solution to a problem I never even thought about before,2022-02-16T00:13:41Z,IladRodavlas,https://yt3.ggpht.com/jjebiTaCiAwhICvNh4rdNnE4lQxX15pjWKpcZojpJcA6D6UjlaWDYFU9KpgdBZdeYQXpplKMQ6E=s48-c-k-c0x00ffffff-no-rj
Ugzsg-5Ioov8uqhIS8V4AaABAg,0,X8jsijhllIA,"Alright, but next please do a lecture on how smearing peanut butter on my CD will fill in the data, as well as the preference of smooth versus crunchy. Thanks.",2022-02-15T21:52:34Z,Syntactic Cherry,https://yt3.ggpht.com/ytc/AKedOLTOk5DQEeQWR7uXeyL_o7bO4payYs8t0u8bEOtyKswKqzCUaqziutBWBPJ4aT9M=s48-c-k-c0x00ffffff-no-rj
UgwQXtYoo3j0Fm3_nX94AaABAg,0,X8jsijhllIA,3:54 Benedict Cumberbatch lookin dude,2022-02-15T17:00:37Z,Music by Jakery,https://yt3.ggpht.com/ytc/AKedOLRSr3L5Ya-ZjsTcS2mHJkGhdPo1hzBW_U2RCy--=s48-c-k-c0x00ffffff-no-rj
Ugzb8pJkgeeKUMsZWo54AaABAg,0,X8jsijhllIA,wordle,2022-02-14T03:30:36Z,Aidan Balderose,https://yt3.ggpht.com/ytc/AKedOLSECdH2_a4NaJROV7q47RSZA5j-aRbDy0UsLsXD=s48-c-k-c0x00ffffff-no-rj
UgwBRjCSjW_N9upU2Z54AaABAg,0,X8jsijhllIA,"And that kids, is how 3Blue1Brown cracked wordle",2022-02-12T13:41:24Z,TrustedHalo,https://yt3.ggpht.com/2gohcR_Wq7KZUYoEN6z4vGbr-AcsZv5Oqh8h1dTk3HsdXH8RYRH6WjO7IdKAICqXxUyBZsig=s48-c-k-c0x00ffffff-no-rj
UgwUG3zQ9_5XNZ-DcPR4AaABAg,0,X8jsijhllIA,is the thumbnail loss????,2022-02-10T23:07:26Z,Sir Orange,https://yt3.ggpht.com/ytc/AKedOLQJvMef-GO-D5j9k7frxGATVfCcWYP3E_o8aWJe=s48-c-k-c0x00ffffff-no-rj
UgwjJt5fB5pYIflhI6x4AaABAg,0,X8jsijhllIA,so you could theoretically scratch a video game disk in such a way that it turns into a completely different game? bonkers,2022-02-10T20:03:09Z,Alex Coroian,https://yt3.ggpht.com/ytc/AKedOLROQ5q5-KVLtc23Hm45-XT7yXUJ9Cddqyf9Fg=s48-c-k-c0x00ffffff-no-rj
